Cycle,TimeCurrentTimetable_sigstats_ClearanceFactor,TimeCurrentTimetable_sigstats_CrestFactor,TimeCurrentTimetable_sigstats_ImpulseFactor,TimeCurrentTimetable_sigstats_Kurtosis,TimeCurrentTimetable_sigstats_Mean,TimeCurrentTimetable_sigstats_PeakValue,TimeCurrentTimetable_sigstats_RMS,TimeCurrentTimetable_sigstats_SINAD,TimeCurrentTimetable_sigstats_SNR,TimeCurrentTimetable_sigstats_ShapeFactor,TimeCurrentTimetable_sigstats_Skewness,TimeCurrentTimetable_sigstats_Std,TimeVoltageTimetable_sigstats_ClearanceFactor,TimeVoltageTimetable_sigstats_CrestFactor,TimeVoltageTimetable_sigstats_ImpulseFactor,TimeVoltageTimetable_sigstats_Kurtosis,TimeVoltageTimetable_sigstats_Mean,TimeVoltageTimetable_sigstats_PeakValue,TimeVoltageTimetable_sigstats_RMS,TimeVoltageTimetable_sigstats_SINAD,TimeVoltageTimetable_sigstats_SNR,TimeVoltageTimetable_sigstats_ShapeFactor,TimeVoltageTimetable_sigstats_Skewness,TimeVoltageTimetable_sigstats_Std
40,1.54520132134971,1.24622170523316,1.40084807181541,1.53788618380987,1.78471174019608,2.50011,2.00615186647889,-3.90057999777058,-4.0058383480124,1.1240761302206,-0.61848152000106,0.91733954717673,1.05531849198707,1.05226431471006,1.0542785363482,2.51554929147727,3.98372901960784,4.19996,3.99135458770855,6.47113482915939,6.49931435928496,1.00191417841504,-0.827470337250954,0.246908818470196
44,1.54982257747935,1.24872008039004,1.40456989306883,1.52720150529985,1.78009277502168,2.50011,2.00220905773989,-3.75349461495411,-3.84822713017175,1.12479470593969,-0.607938707483458,0.917672198258268,1.05504865698229,1.05198870781426,1.05400637114834,2.54764359076492,3.98476009307703,4.19996,3.99240274035756,5.96688683645269,5.9922484135657,1.00191796043079,-0.841935178185206,0.247216390502941
47,1.55328851957657,1.2505938617577,1.40736125900889,1.51918799641733,1.77662855114088,2.50011,1.99925195118564,-3.64318057784176,-3.73001871679126,1.12533363772901,-0.600031598095256,0.917921686569422,1.0548462807287,1.05178200264242,1.05380224724845,2.57171431523065,3.98553339817893,4.19996,3.99318885484432,5.58870084192266,5.61194895427625,1.0019207969426,-0.852783808885896,0.247447069527499
51,1.55790977570621,1.25309223691459,1.41108308026231,1.50850331790731,1.77200958596648,2.50011,1.99530914244664,-3.49609519502529,-3.57240749895061,1.1260522134481,-0.589488785577653,0.91825433765096,1.05457644572392,1.05150639574662,1.05353008204859,2.6038086145183,3.98656447164812,4.19996,3.99423700749333,5.08445284921595,5.10488300855699,1.00192457895834,-0.867248649820148,0.247754641560244
55,1.56253103183584,1.25559061207147,1.41480490151573,1.49781863939729,1.76739062079208,2.50011,1.99136633370764,-3.34900981220882,-3.41479628110995,1.12677078916719,-0.578945973060051,0.918586988732498,1.05430661071914,1.05123078885082,1.05325791684874,2.63590291380594,3.98759554511731,4.19996,3.99528516014235,4.58020485650925,4.59781706283773,1.00192836097409,-0.881713490754401,0.248062213592989
58,1.56599697393307,1.25746439343913,1.4175962674558,1.48980513051478,1.76392639691128,2.50011,1.98840922715339,-3.23869577509647,-3.29658786772947,1.12730972095651,-0.571038863671849,0.918836477043651,1.05410423446556,1.05102408367897,1.05305379294884,2.65997363827168,3.9883688502192,4.19996,3.9960712746291,4.20201886197922,4.21751760354829,1.0019311974859,-0.89256212145509,0.248292892617548
62,1.57061823006271,1.25996276859601,1.42131808870921,1.47912045200476,1.75930743173689,2.50011,1.98446641841438,-3.09161039228,-3.13897664988881,1.12802829667559,-0.560496051154246,0.919169128125189,1.05383439946077,1.05074847678318,1.05278162774899,2.69206793755932,3.9893999236884,4.19996,3.99711942727812,3.69777086927252,3.71045165782902,1.00193497950164,-0.907026962389343,0.248600464650292
65,1.57408417215994,1.26183654996367,1.42410945464928,1.47110694312224,1.75584320785609,2.50011,1.98150931186013,-2.98129635516764,-3.02076823650833,1.12856722846491,-0.552588941766044,0.919418616436342,1.05363202320719,1.05054177161133,1.05257750384909,2.71613866202506,3.99017322879029,4.19996,3.99790554176488,3.31958487474249,3.33015219853958,1.00193781601345,-0.917875593090032,0.248831143674851
69,1.57870542828957,1.26433492512055,1.4278312759027,1.46042226461222,1.75122424268169,2.50011,1.97756650312113,-2.83421097235117,-2.86315701866767,1.129285804184,-0.542046129248442,0.91975126751788,1.05336218820241,1.05026616471553,1.05230533864924,2.7482329613127,3.99120430225948,4.19996,3.99895369441389,2.81533688203579,2.82308625282032,1.0019415980292,-0.932340434024285,0.249138715707596
73,1.58332668441921,1.26683330027744,1.43155309715612,1.4497375861022,1.74660527750729,2.50011,1.97362369438213,-2.6871255895347,-2.70554580082702,1.13000437990309,-0.531503316730839,0.920083918599419,1.05309235319763,1.04999055781973,1.05203317344938,2.78032726060035,3.99223537572867,4.19996,4.0000018470629,2.31108888932908,2.31602030710106,1.00194538004494,-0.946805274958537,0.249446287740341
76,1.58679262651643,1.2687070816451,1.43434446309618,1.44172407721969,1.74314105362649,2.50011,1.97066658782788,-2.57681155242235,-2.58733738744653,1.13054331169241,-0.523596207342637,0.920333406910572,1.05288997694404,1.04978385264789,1.05182904954949,2.80439798506608,3.99300868083057,4.19996,4.00078796154966,1.93290289479905,1.93572084781161,1.00194821655675,-0.957653905659226,0.249676966764899
80,1.59141388264607,1.27120545680198,1.4380662843496,1.43103939870967,1.73852208845209,2.50011,1.96672377908888,-2.42972616960588,-2.42972616960588,1.1312618874115,-0.513053394825035,0.92066605799211,1.05262014193926,1.04950824575209,1.05155688434963,2.83649228435373,3.99403975429976,4.19996,4.00183611419867,1.42865490209235,1.42865490209235,1.0019519985725,-0.972118746593479,0.249984538797644
84,1.62553422146349,1.28575660169982,1.4629108983512,1.40605185820666,1.71291130160177,2.50011,1.94652349590825,2.7158740287768,2.7158740287768,1.13717941287214,-0.465468692355688,0.924465952315985,1.0511793714816,1.04810986439,1.05012974338882,2.975313875054,3.99953492209229,4.19996,4.0072402291211,1.04112964269857,1.04112964269857,1.00192686158926,-1.02688947128036,0.248640229818498
87,1.65112447557656,1.2966699603732,1.4815443588524,1.3873112028294,1.69370321146402,2.50011,1.93137328352278,6.57507417756381,6.57507417756381,1.14161755696762,-0.429780165503679,0.927315873058891,1.05009879363835,1.04706107836844,1.04905938766821,3.0794300680792,4.00365629793669,4.19996,4.01129331531292,0.750485698153244,0.750485698153244,1.00190800885182,-1.06796751479552,0.247631998084138
91,1.68524481439398,1.31122110527103,1.50638897285401,1.3623236623264,1.6680924246137,2.50011,1.91117300034215,11.7206743759465,11.7206743759465,1.14753508242826,-0.382195463034332,0.931115767382766,1.04865802318068,1.04566269700635,1.04763224670741,3.21825165877947,4.00915146572922,4.19996,4.01669743023534,0.362960438759469,0.362960438759469,1.00188287186858,-1.12273823948239,0.246287689104991
