Cycle,Capacity
40,4.8656625
44,4.85869225
47,4.8534645625
51,4.8464943125
55,4.8395240625
58,4.834296375
62,4.827326125
65,4.8220984375
69,4.8151281875
73,4.8081579375
76,4.80293025
80,4.79596
84,4.789412
87,4.784501
91,4.777953
95,4.771405
98,4.766494
102,4.759946
105,4.755035
109,4.748487
113,4.741939
116,4.737028
120,4.73048
122,4.7275936
125,4.723264
127,4.7203776
129,4.7174912
131,4.7146048
134,4.7102752
136,4.7073888
138,4.7045024
140,4.701616
143,4.6972864
145,4.6944
147,4.6925446
150,4.6897615
152,4.6879061
154,4.6860507
156,4.6841953
159,4.6814122
161,4.6795568
163,4.6777014
165,4.675846
168,4.6730629
170,4.6712075
172,4.6690601
175,4.665839
177,4.6636916
179,4.6615442
181,4.6593968
184,4.6561757
186,4.6540283
188,4.6518809
190,4.6497335
193,4.6465124
195,4.644365
197,4.6428918
200,4.640682
202,4.6392088
204,4.6377356
206,4.6362624
209,4.6340526
211,4.6325794
213,4.6311062
215,4.629633
218,4.6274232
220,4.62595
222,4.6242364
225,4.621666
227,4.6199524
229,4.6182388
231,4.6165252
234,4.6139548
236,4.6122412
238,4.6105276
240,4.608814
243,4.6062436
245,4.60453
247,4.603255
250,4.6013425
252,4.6000675
254,4.5987925
256,4.5975175
259,4.595605
261,4.59433
263,4.593055
265,4.59178
268,4.5898675
270,4.5885925
272,4.5881141
275,4.5873965
277,4.5869181
279,4.5864397
281,4.5859613
284,4.5852437
286,4.5847653
288,4.5842869
290,4.5838085
293,4.5830909
295,4.5826125
297,4.5799481
300,4.5759515
302,4.5732871
304,4.5706227
306,4.5679583
309,4.5639617
311,4.5612973
313,4.5586329
315,4.5559685
318,4.5519719
320,4.5493075
322,4.5480807
325,4.5462405
327,4.5450137
329,4.5437869
331,4.5425601
334,4.5407199
336,4.5394931
338,4.5382663
340,4.5370395
343,4.5351993
345,4.5339725
347,4.5327705
350,4.5309675
352,4.5297655
354,4.5285635
356,4.5273615
359,4.5255585
361,4.5243565
363,4.5231545
365,4.5219525
368,4.5201495
370,4.5189475
372,4.5173453
375,4.514942
377,4.5133398
379,4.5117376
381,4.5101354
384,4.5077321
386,4.5061299
388,4.5045277
390,4.5029255
393,4.5005222
395,4.49892
397,4.4977908
400,4.496097
402,4.4949678
404,4.4938386
406,4.4927094
409,4.4910156
411,4.4898864
413,4.4887572
415,4.487628
418,4.4859342
420,4.484805
422,4.483684
425,4.4820025
427,4.4808815
429,4.4797605
431,4.4786395
434,4.476958
436,4.475837
438,4.474716
440,4.473595
443,4.4719135
445,4.4707925
447,4.4694271
450,4.467379
452,4.4660136
454,4.4646482
456,4.4632828
459,4.4612347
461,4.4598693
463,4.4585039
465,4.4571385
468,4.4550904
470,4.453725
472,4.452138
475,4.4497575
477,4.4481705
479,4.4465835
481,4.4449965
484,4.442616
486,4.441029
488,4.439442
490,4.437855
493,4.4354745
495,4.4338875
500,4.43167575
504,4.42990635
509,4.4276946
513,4.4259252
518,4.42371345
